user_id,challenge_name,category,difficulty,start_date,completed,points_earned
user_0000,10K Steps Challenge,exercise,3,2025-11-24,False,0
user_0000,Morning Meditation,meditation,2,2025-11-30,True,100
user_0000,10K Steps Challenge,exercise,3,2025-11-17,True,150
user_0000,Morning Meditation,meditation,2,2025-11-18,True,100
user_0000,10K Steps Challenge,exercise,3,2025-11-20,False,0
user_0000,10K Steps Challenge,exercise,3,2025-11-13,False,0
user_0000,7-Day Streak,exercise,5,2025-11-30,False,0
user_0000,Morning Meditation,meditation,2,2025-11-25,True,100
user_0000,7-Day Streak,exercise,5,2025-11-10,False,0
user_0000,10K Steps Challenge,exercise,3,2025-11-13,False,0
user_0000,10K Steps Challenge,exercise,3,2025-11-14,True,150
user_0000,7-Day Streak,exercise,5,2025-11-19,False,0
user_0001,10K Steps Challenge,exercise,3,2025-11-13,True,150
user_0001,7-Day Streak,exercise,5,2025-11-17,False,0
user_0001,7-Day Streak,exercise,5,2025-11-25,False,0
user_0001,Morning Meditation,meditation,2,2025-11-05,True,100
user_0001,Morning Meditation,meditation,2,2025-11-16,False,0
user_0001,10K Steps Challenge,exercise,3,2025-11-14,True,150
user_0001,Morning Meditation,meditation,2,2025-11-21,False,0
user_0001,7-Day Streak,exercise,5,2025-11-07,False,0
user_0001,Morning Meditation,meditation,2,2025-11-14,False,0
user_0001,Morning Meditation,meditation,2,2025-11-22,True,100
user_0001,10K Steps Challenge,exercise,3,2025-12-02,True,150
user_0001,10K Steps Challenge,exercise,3,2025-11-13,False,0
user_0001,10K Steps Challenge,exercise,3,2025-11-13,False,0
user_0002,10K Steps Challenge,exercise,3,2025-11-29,True,150
user_0002,10K Steps Challenge,exercise,3,2025-11-06,True,150
user_0002,Morning Meditation,meditation,2,2025-11-21,True,100
user_0002,7-Day Streak,exercise,5,2025-11-27,False,0
user_0002,10K Steps Challenge,exercise,3,2025-11-21,True,150
user_0002,7-Day Streak,exercise,5,2025-11-28,False,0
user_0002,Morning Meditation,meditation,2,2025-11-11,True,100
user_0002,7-Day Streak,exercise,5,2025-11-30,False,0
user_0002,10K Steps Challenge,exercise,3,2025-11-18,True,150
user_0002,7-Day Streak,exercise,5,2025-11-11,False,0
user_0002,7-Day Streak,exercise,5,2025-11-26,False,0
user_0002,10K Steps Challenge,exercise,3,2025-11-17,True,150
user_0002,Morning Meditation,meditation,2,2025-11-05,False,0
user_0003,10K Steps Challenge,exercise,3,2025-11-13,False,0
user_0003,Morning Meditation,meditation,2,2025-11-17,True,100
user_0003,7-Day Streak,exercise,5,2025-11-29,False,0
user_0003,10K Steps Challenge,exercise,3,2025-11-06,False,0
user_0003,Morning Meditation,meditation,2,2025-11-14,False,0
user_0003,Morning Meditation,meditation,2,2025-11-23,True,100
user_0003,7-Day Streak,exercise,5,2025-11-28,False,0
user_0003,7-Day Streak,exercise,5,2025-11-26,False,0
user_0003,Morning Meditation,meditation,2,2025-11-05,True,100
user_0003,Morning Meditation,meditation,2,2025-11-11,True,100
user_0003,Morning Meditation,meditation,2,2025-11-15,True,100
user_0004,10K Steps Challenge,exercise,3,2025-12-04,True,150
user_0004,7-Day Streak,exercise,5,2025-11-19,False,0
user_0004,10K Steps Challenge,exercise,3,2025-11-18,True,150
user_0004,Morning Meditation,meditation,2,2025-11-25,False,0
user_0004,Morning Meditation,meditation,2,2025-11-26,False,0
user_0004,10K Steps Challenge,exercise,3,2025-11-24,True,150
user_0004,10K Steps Challenge,exercise,3,2025-11-07,True,150
