user_id,date,steps,meditation_minutes,water_glasses,sleep_hours,meals_logged,exercise_minutes,current_streak,completed_daily_goal
user_0000,2025-09-06,6796,0,6,7.7,2,12,1,True
user_0000,2025-09-07,2697,0,0,5.9,0,0,0,False
user_0000,2025-09-08,1375,0,2,4.9,3,0,0,False
user_0000,2025-09-09,5804,0,10,6.8,1,27,1,True
user_0000,2025-09-10,861,0,0,6.2,3,0,0,False
user_0000,2025-09-11,6414,0,6,6.8,1,22,1,True
user_0000,2025-09-12,2651,16,7,7.8,3,44,2,True
user_0000,2025-09-13,1877,0,4,5.4,2,0,0,False
user_0000,2025-09-14,4431,23,8,8.4,2,48,1,True
user_0000,2025-09-15,565,0,5,4.8,1,0,0,False
user_0000,2025-09-16,3835,0,9,8.0,2,29,1,True
user_0000,2025-09-17,1297,0,3,4.4,3,0,0,False
user_0000,2025-09-18,1410,0,0,4.8,1,0,0,False
user_0000,2025-09-19,4967,0,9,7.3,1,2,1,True
user_0000,2025-09-20,4870,0,7,7.4,3,47,2,True
user_0000,2025-09-21,6192,0,9,8.1,2,41,3,True
user_0000,2025-09-22,675,0,2,5.8,0,0,0,False
user_0000,2025-09-23,857,0,5,6.4,2,0,0,False
user_0000,2025-09-24,1857,0,3,4.1,0,0,0,False
user_0000,2025-09-25,2519,0,5,5.2,0,0,0,False
user_0000,2025-09-26,6254,0,6,8.9,2,19,1,True
user_0000,2025-09-27,817,0,3,5.2,3,0,0,False
user_0000,2025-09-28,6281,0,9,7.1,3,41,1,True
user_0000,2025-09-29,6763,20,6,6.1,1,38,2,True
user_0000,2025-09-30,3993,0,9,7.7,3,51,3,True
user_0000,2025-10-01,950,0,3,5.5,2,0,0,False
user_0000,2025-10-02,4700,0,8,6.1,1,36,1,True
user_0000,2025-10-03,1772,0,0,6.4,2,0,0,False
user_0000,2025-10-04,642,0,2,4.9,3,0,0,False
user_0000,2025-10-05,2172,0,6,8.0,0,45,1,True
user_0000,2025-10-06,4724,0,10,6.2,3,39,2,True
user_0000,2025-10-07,4546,0,6,8.4,0,43,3,True
user_0000,2025-10-08,1052,0,2,6.6,0,0,0,False
user_0000,2025-10-09,6539,0,9,6.6,1,1,1,True
user_0000,2025-10-10,2332,0,1,5.2,0,0,0,False
user_0000,2025-10-11,1203,0,3,6.9,0,0,0,False
user_0000,2025-10-12,983,0,1,6.4,1,0,0,False
user_0000,2025-10-13,1161,0,2,6.6,3,0,0,False
user_0000,2025-10-14,2875,0,9,7.2,3,45,1,True
user_0000,2025-10-15,4789,0,8,8.7,1,1,2,True
user_0000,2025-10-16,1217,0,2,5.8,3,0,0,False
user_0000,2025-10-17,1919,0,5,5.0,2,0,0,False
