user_id,days_active,total_days,avg_steps_last_7_days,meditation_streak,avg_meditation_minutes,avg_sleep_hours,challenge_completion_rate,total_points_earned,social_engagement_score,social_interactions_count,preferred_activity_time,response_rate_to_notifications,mood_correlation_with_exercise,user_type,fitness_level,primary_goal
user_0000,39,90,2755.29,3,1.32,6.32,0.667,350,0.11,11,morning,0.53,0.468,struggling,beginner,weight_loss
user_0001,45,90,3232.0,5,3.72,6.54,0.5,400,0.24,24,night,0.859,0.53,struggling,advanced,weight_loss
user_0002,36,90,3057.29,4,2.28,6.26,0.5,350,0.12,12,evening,0.625,0.308,struggling,beginner,weight_loss
user_0003,18,90,1829.29,4,0.5,5.84,1.0,150,0.01,1,evening,0.386,0.381,dropout,beginner,wellness
user_0004,34,90,1176.14,7,1.54,6.21,0.4,150,0.21,21,night,0.848,0.245,struggling,beginner,wellness
user_0005,41,90,2816.14,6,2.1,6.39,0.5,50,0.18,18,night,0.728,0.226,struggling,advanced,muscle_gain
user_0006,51,90,6141.14,6,4.48,6.68,0.2,250,0.27,27,morning,0.871,0.535,moderate,beginner,weight_loss
user_0007,18,90,1561.71,3,0.5,6.05,0.5,250,0.06,6,night,0.376,0.32,dropout,intermediate,wellness
user_0008,53,90,5639.0,8,5.08,6.88,0.667,800,0.44,44,morning,0.77,0.28,moderate,advanced,wellness
user_0009,62,90,5615.71,16,6.12,7.02,0.333,600,0.22,22,morning,0.783,0.366,moderate,advanced,weight_loss
user_0010,61,90,6734.57,11,8.56,6.75,0.273,200,0.6,60,night,0.891,0.465,moderate,intermediate,stress_reduction
user_0011,56,90,5251.86,10,5.38,6.88,0.571,200,0.58,58,afternoon,0.506,0.421,moderate,advanced,stress_reduction
user_0012,15,90,1516.71,3,0.0,5.85,0.667,300,0.05,5,evening,0.36,0.277,dropout,beginner,weight_loss
user_0013,78,90,11362.86,16,13.72,7.2,0.917,1300,1.0,134,morning,0.65,0.548,highly_engaged,intermediate,wellness
user_0014,54,90,5992.86,11,5.02,6.68,0.625,500,0.31,31,afternoon,0.489,0.492,moderate,intermediate,stress_reduction
user_0015,21,90,2025.0,3,0.49,6.09,0.5,150,0.04,4,night,0.371,0.404,dropout,advanced,stress_reduction
user_0016,13,90,2128.57,3,0.6,5.71,0.0,0,0.04,4,morning,0.747,0.256,dropout,beginner,weight_loss
user_0017,16,90,1544.29,3,0.33,5.71,0.0,0,0.05,5,morning,0.51,0.519,dropout,beginner,stress_reduction
user_0018,17,90,1951.57,2,0.0,5.79,0.0,0,0.04,4,morning,0.67,0.394,dropout,intermediate,stress_reduction
user_0019,41,90,2428.14,5,2.82,6.56,0.25,50,0.12,12,night,0.309,0.527,struggling,intermediate,weight_loss
user_0020,38,90,3553.29,4,1.89,6.21,0.2,200,0.23,23,night,0.675,0.447,struggling,beginner,weight_loss
user_0021,61,90,5641.43,6,6.81,6.91,0.545,900,0.39,39,night,0.409,0.22,moderate,beginner,weight_loss
user_0022,34,90,2542.71,3,2.56,6.33,0.0,0,0.15,15,morning,0.825,0.576,struggling,advanced,wellness
user_0023,37,90,2249.57,5,2.04,6.28,0.167,100,0.09,9,night,0.874,0.462,struggling,intermediate,stress_reduction
user_0024,15,90,1780.0,2,0.56,5.68,0.0,0,0.06,6,night,0.376,0.431,dropout,beginner,wellness
user_0025,61,90,5735.86,8,7.14,6.93,0.556,500,0.55,55,evening,0.33,0.374,moderate,intermediate,weight_loss
user_0026,79,90,11584.0,21,13.33,7.32,0.667,1650,0.52,52,evening,0.615,0.481,highly_engaged,intermediate,muscle_gain
user_0027,33,90,2619.86,3,1.77,6.22,0.0,0,0.22,22,afternoon,0.564,0.475,struggling,advanced,muscle_gain
user_0028,16,90,1274.71,2,0.18,5.82,0.0,0,0.06,6,night,0.646,0.413,dropout,beginner,stress_reduction
user_0029,68,90,7217.86,12,7.72,7.03,0.5,550,0.34,34,night,0.861,0.449,moderate,advanced,wellness
user_0030,36,90,2476.86,5,1.42,6.17,1.0,150,0.13,13,afternoon,0.47,0.486,struggling,intermediate,weight_loss
user_0031,22,90,1884.43,4,0.52,5.99,0.0,0,0.04,4,night,0.457,0.254,dropout,beginner,wellness
user_0032,75,90,11536.14,13,12.08,7.14,0.7,1050,1.0,114,morning,0.769,0.733,highly_engaged,beginner,stress_reduction
user_0033,20,90,1941.43,2,0.0,6.07,0.0,0,0.03,3,afternoon,0.434,0.486,dropout,advanced,stress_reduction
user_0034,21,90,1900.43,3,0.48,6.17,1.0,50,0.0,0,morning,0.531,0.508,dropout,advanced,weight_loss
user_0035,61,90,4565.86,10,6.94,6.95,0.571,350,0.24,24,evening,0.323,0.584,moderate,beginner,stress_reduction
user_0036,80,90,11847.14,26,15.07,7.35,0.6,700,0.81,81,night,0.717,0.879,highly_engaged,intermediate,wellness
user_0037,82,90,10648.43,22,14.1,7.42,0.615,800,0.77,77,morning,0.863,0.745,highly_engaged,beginner,wellness
user_0038,40,90,2389.86,3,1.2,6.3,0.5,150,0.08,8,morning,0.58,0.416,struggling,advanced,stress_reduction
user_0039,74,90,10706.57,15,14.03,7.08,0.842,2000,1.0,142,morning,0.845,0.618,highly_engaged,beginner,muscle_gain
user_0040,84,90,9853.57,29,15.27,7.37,0.727,700,1.0,131,morning,0.75,0.647,highly_engaged,advanced,weight_loss
user_0041,75,90,7593.29,19,12.69,7.06,0.933,1950,0.79,79,night,0.305,0.486,highly_engaged,beginner,stress_reduction
user_0042,19,90,2070.29,2,0.4,5.92,0.0,0,0.06,6,night,0.898,0.249,dropout,beginner,stress_reduction
user_0043,36,90,1939.29,4,2.02,6.26,0.333,50,0.21,21,night,0.326,0.546,struggling,intermediate,stress_reduction
user_0044,80,90,11747.14,19,13.29,7.31,0.929,1700,0.6,60,morning,0.441,0.477,highly_engaged,beginner,stress_reduction
user_0045,24,90,1460.0,4,0.48,5.9,0.0,0,0.09,9,morning,0.5,0.311,dropout,intermediate,stress_reduction
user_0046,31,90,2718.43,5,2.18,6.11,0.0,0,0.14,14,night,0.357,0.466,struggling,advanced,stress_reduction
user_0047,47,90,4191.43,6,2.72,6.61,0.0,0,0.23,23,night,0.485,0.456,struggling,intermediate,weight_loss
user_0048,35,90,3268.43,4,1.58,6.29,0.5,100,0.12,12,night,0.629,0.578,struggling,advanced,muscle_gain
user_0049,78,90,8278.43,17,14.5,7.08,0.722,1300,1.0,133,night,0.303,0.808,highly_engaged,beginner,stress_reduction
user_0050,61,90,4268.71,5,6.56,6.85,0.667,1100,0.4,40,morning,0.439,0.331,moderate,intermediate,weight_loss
user_0051,27,90,3756.29,3,0.93,6.19,0.2,50,0.24,24,morning,0.342,0.395,struggling,advanced,muscle_gain
user_0052,27,90,2036.86,5,1.99,5.96,0.25,100,0.07,7,afternoon,0.788,0.229,struggling,intermediate,weight_loss
user_0053,59,90,5373.43,9,6.91,6.79,0.583,800,0.24,24,night,0.656,0.242,moderate,intermediate,weight_loss
user_0054,37,90,2996.43,5,2.59,6.49,0.0,0,0.12,12,night,0.722,0.348,struggling,beginner,wellness
user_0055,62,90,4875.86,9,6.14,6.83,0.8,450,0.56,56,afternoon,0.529,0.216,moderate,advanced,stress_reduction
user_0056,56,90,4833.0,6,8.27,6.82,0.7,850,0.22,22,morning,0.407,0.491,moderate,beginner,muscle_gain
user_0057,15,90,1771.43,2,0.54,5.87,0.0,0,0.0,0,afternoon,0.532,0.206,dropout,advanced,wellness
