user_id,join_date
user_0000,2025-10-26
user_0001,2025-10-26
user_0002,2025-10-26
user_0003,2025-10-26
user_0004,2025-10-26
user_0005,2025-10-26
user_0006,2025-10-26
user_0007,2025-10-26
user_0008,2025-10-26
user_0009,2025-10-26
user_0010,2025-10-26
user_0011,2025-10-26
user_0012,2025-10-26
user_0013,2025-10-26
user_0014,2025-10-26
user_0015,2025-10-26
user_0016,2025-10-26
user_0017,2025-10-26
user_0018,2025-10-26
user_0019,2025-10-26
user_0020,2025-10-26
user_0021,2025-10-26
user_0022,2025-10-26
user_0023,2025-10-26
user_0024,2025-10-26
user_0025,2025-10-26
user_0026,2025-10-26
user_0027,2025-10-26
user_0028,2025-10-26
user_0029,2025-10-26
user_0030,2025-10-26
user_0031,2025-10-26
user_0032,2025-10-26
user_0033,2025-10-26
user_0034,2025-10-26
user_0035,2025-10-26
user_0036,2025-10-26
user_0037,2025-10-26
user_0038,2025-10-26
user_0039,2025-10-26
user_0040,2025-10-26
user_0041,2025-10-26
user_0042,2025-10-26
user_0043,2025-10-26
user_0044,2025-10-26
user_0045,2025-10-26
user_0046,2025-10-26
user_0047,2025-10-26
user_0048,2025-10-26
user_0049,2025-10-26
user_0050,2025-10-26
user_0051,2025-10-26
user_0052,2025-10-26
user_0053,2025-10-26
user_0054,2025-10-26
user_0055,2025-10-26
user_0056,2025-10-26
user_0057,2025-10-26
user_0058,2025-10-26
user_0059,2025-10-26
user_0060,2025-10-26
user_0061,2025-10-26
user_0062,2025-10-26
user_0063,2025-10-26
user_0064,2025-10-26
user_0065,2025-10-26
user_0066,2025-10-26
user_0067,2025-10-26
user_0068,2025-10-26
user_0069,2025-10-26
user_0070,2025-10-26
user_0071,2025-10-26
user_0072,2025-10-26
user_0073,2025-10-26
user_0074,2025-10-26
user_0075,2025-10-26
user_0076,2025-10-26
user_0077,2025-10-26
user_0078,2025-10-26
user_0079,2025-10-26
user_0080,2025-10-26
user_0081,2025-10-26
user_0082,2025-10-26
user_0083,2025-10-26
user_0084,2025-10-26
user_0085,2025-10-26
user_0086,2025-10-26
user_0087,2025-10-26
user_0088,2025-10-26
user_0089,2025-10-26
user_0090,2025-10-26
user_0091,2025-10-26
